U.S. News,"Senate Republican leader Mitch McConnell again says 'no' to giving Americans $2,000 stimulus checks - UPI.com",By Don Jacobson,https://www.upi.com/Top_News/US/2020/12/31/McConnell-again-says-no-to-giving-Americans-2000-stimulus-checks/7951609435867/,"

","Dec. 31, 2020 ",https://cdnph.upi.com/svc/sv/upi/7951609435867/2020/1/196aaa8ec0808b7c138b55b9b329f78e/McConnell-again-says-no-to-giving-Americans-2000-stimulus-checks.jpg
U.S. News,"Offenders hack smart home devices for 'swatting' incidents, FBI warns - UPI.com",By Sommer Brokaw,https://www.upi.com/Top_News/US/2020/12/31/FBI-Offenders-hack-smart-home-devices-for-swatting-incidents/1281609435148/,"The FBI is working with device manufacturers to advise customers about the new scheme and how to avoid being victimized, along with working with law enforcement first responders. Device manufacturers recently notified law enforcement of offenders using stolen email passwords for the swatting attacks.
RELATED Records say Nashville PD alerted to bomb-making a year before attack
","Dec. 31, 2020 ",https://cdnph.upi.com/svc/sv/upi/1281609435148/2020/1/763042f44bfdcbfa5a9f95d734821b55/FBI-Offenders-hack-smart-home-devices-for-swatting-incidents.jpg
U.S. News,Ticketmaster to pay $10 million for hacking competitor - UPI.com,By Clyde Hughes,https://www.upi.com/Top_News/US/2020/12/31/Ticketmaster-to-pay-10-million-for-hacking-competitor/2081609437579/,"Under the terms of the deferred prosecution agreement, Ticketmaster will pay a criminal fine, and maintain a compliance and ethics program for employees. Ticketmaster also must report to the office annually over the next three years on its compliance efforts.
","Dec. 31, 2020 ",https://cdnph.upi.com/svc/sv/i/2081609437579/2020/1/16094382898525/Ticketmaster-to-pay-10-million-for-hacking-competitor.jpg
World News,South Korea software millionaire leads in Seoul mayoral poll - UPI.com,By Elizabeth Shim,https://www.upi.com/Top_News/World-News/2020/12/31/South-Korea-software-millionaire-leads-in-Seoul-mayoral-poll/4271609438581/,"""The investigations did not yield evidence to support any charges for the suspects,"" police said, according to the report.
RELATED Samsung's de facto chief says he's 'sorry' amid bribery retrial
","Dec. 31, 2020 ",https://cdnph.upi.com/svc/sv/upi/4271609438581/2020/1/54f8d8df83d71fabba9bcd998255d7a1/South-Korea-software-millionaire-leads-in-Seoul-mayoral-poll.jpg
U.S. News,Trump administration well short of goal to give COVID-19 vaccine to 20M in December - UPI.com,By Clyde Hughes,https://www.upi.com/Top_News/US/2020/12/31/Trump-admin-well-short-of-goal-to-give-COVID-19-vaccine-to-20M-this-month/5401609434436/,"
Read More
Another day of record COVID-19 deaths in U.S.; 7,500 dead in last 2 days 
","Dec. 31, 2020 ",https://cdnph.upi.com/svc/sv/upi/5401609434436/2020/1/92eab864ec0ea5d417a3586acbfec25c/Trump-admin-well-short-of-goal-to-give-COVID-19-vaccine-to-20M-this-month.jpg
U.S. News,GOP Sen. Ben Sasse says Republicans 'playing with fire' by denying President-elect Joe Biden's win - UPI.com,By Don Jacobson,https://www.upi.com/Top_News/US/2020/12/31/GOP-Sen-Ben-Sasse-says-Republicans-playing-with-fire-by-denying-Biden-win/1721609431416/,"
Advertisement

","Dec. 31, 2020 ",https://cdnph.upi.com/svc/sv/upi/1721609431416/2020/1/c9a8cd4922f2cc2bcc406bb4cc305d32/GOP-Sen-Ben-Sasse-says-Republicans-playing-with-fire-by-denying-Biden-win.jpg
World News,U.N. agency condemns Iran's execution of child offender - UPI.com,By Sommer Brokaw,https://www.upi.com/Top_News/World-News/2020/12/31/UN-agency-condemns-Irans-execution-of-child-offender/2021609430813/,"On Wednesday, United Nations experts urged members states to condemn a separate violation of international law in the United States. The U.N. experts said President Donald Trump's pardon last week of four former Blackwater Worldwide military contractors convicted of killing 14 Iraqis in 2007 violates U.S. obligations under international law. They urged member states to condemn the presidential action.
","Dec. 31, 2020 ",https://cdnph.upi.com/svc/sv/upi/2021609430813/2020/1/04956e6918f1d17ea89b787168e99d6b/UN-agency-condemns-Irans-execution-of-child-offender.jpg
World News,Japan shatters daily coronavirus record on New Year’s Eve - UPI.com,By Elizabeth Shim,https://www.upi.com/Top_News/World-News/2020/12/31/Japan-shatters-daily-coronavirus-record-on-New-Years-Eve/1781609434800/,"Japan recently suspended a state-subsidized travel campaign from December to January, after promoting domestic tourism in an attempt to stimulate the economy.
","Dec. 31, 2020 ",https://cdnph.upi.com/svc/sv/upi/1781609434800/2020/1/0145156091a63b0bdeba47946e5e6ac2/Japan-shatters-daily-coronavirus-record-on-New-Years-Eve.jpg
U.S. News,"U.S. says it will impose tariffs on European Union-made plane parts, liquors - UPI.com",By Clyde Hughes,https://www.upi.com/Top_News/US/2020/12/31/US-says-it-will-impose-tariffs-on-European-made-plane-parts-liquors/3151609426133/,"

","Dec. 31, 2020 ",https://cdnph.upi.com/svc/sv/upi/3151609426133/2020/1/1d920a81b5cc4bbfb8158f295394d051/US-says-it-will-impose-tariffs-on-European-made-plane-parts-liquors.jpg
World News,Hong Kong mogul Jimmy Lai ordered into custody after release on bail - UPI.com,By Elizabeth Shim,https://www.upi.com/Top_News/World-News/2020/12/31/Hong-Kong-mogul-Jimmy-Lai-ordered-into-custody-after-release-on-bail/6441609431845/,"""Jimmy Lai was initially denied bail, then he appealed and was granted bail by the high court -- at this juncture, the pro-Beijing media in Hong Kong ... severely attacked the judge's decision,"" Cheng said.
","Dec. 31, 2020 ",https://cdnph.upi.com/svc/sv/upi_com/6441609431845/2020/1/6c430ed8ef877b989a9b671bb5c7e346/Hong-Kong-mogul-Jimmy-Lai-ordered-into-custody-after-release-on-bail.jpg
